numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1455394,2,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1230304,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230305,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230306,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230307,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230309,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230311,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230312,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230313,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230314,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230321,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230323,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230325,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230326,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230328,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230329,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230330,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230331,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230332,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230333,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230334,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230335,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230337,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230338,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230339,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230340,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230341,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230343,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230344,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230345,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230346,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230348,2,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1206244,2,CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP,09/04/2015
1352901,2,FLIP CHART 700 X 1000MM ALUMINIO,30/06/2020
1195644,2,MESA EM L C/COMPLEMENTO CIRCULAR - LACHI,16/12/2014
1223774,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223775,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223776,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223777,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223778,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223779,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223780,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223782,2,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1227334,2,MICROCOMPUTADOR ADMINISTRATIVO BASICO - DELL,17/02/2017
1227374,2,"MONITOR DE VIDEO 21,5 POLEGADAS - DELL",28/02/2017
1142966,2,PROJETOR MULTIMIDIA S/ SUPORTE-POWERLITE X24-EPSON,13/02/2014
1220763,2,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
1220764,2,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
1223880,2,ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC,11/02/2017
1219427,2,ARMARIO BAIXO 880X800X500MM 2 PRAT./KROLL,05/01/2017
1154711,2,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
