numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1154712,2,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154695,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154696,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154697,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154698,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154699,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154700,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154701,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154702,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154703,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154704,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154705,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154706,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154707,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154708,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154709,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154710,2,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1455387,2,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
