numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1314870,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314871,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314874,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314876,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314882,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314884,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314886,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314888,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314898,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314908,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1172595,16,CADEIRA UNIV. AMARELA. C/PRANCH.-CANHOTO-CEQUIPEL,13/06/2014
1172606,16,CADEIRA UNIV. AMARELA. C/PRANCH.-CANHOTO-CEQUIPEL,13/06/2014
1172610,16,CADEIRA UNIV. AMARELA. C/PRANCH.-CANHOTO-CEQUIPEL,13/06/2014
1172614,16,CADEIRA UNIV. AMARELA. C/PRANCH.-CANHOTO-CEQUIPEL,13/06/2014
1171601,16,CADEIRA UNIV. AMARELA. C/PRANCH.-DESTRO-CEQUIPEL,13/06/2014
