numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1172555,16,CADEIRA UNIV. AMARELA. C/PRANCH.-DESTRO-CEQUIPEL,13/06/2014
1172557,16,CADEIRA UNIV. AMARELA. C/PRANCH.-DESTRO-CEQUIPEL,13/06/2014
1172587,16,CADEIRA UNIV. AMARELA. C/PRANCH.-DESTRO-CEQUIPEL,13/06/2014
1172267,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172270,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172279,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172287,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172288,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172290,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172295,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172296,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172304,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172306,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1172308,16,CADEIRA UNIV. AMARELA.C/PRANCH.-DESTRO-CEQUIPEL,24/06/2014
1195655,16,MESA EM L C/COMPLEMENTO CIRCULAR - LACHI,16/12/2014
1227315,16,MICROCOMPUTADOR ADMINISTRATIVO BASICO - DELL,17/02/2017
1227348,16,"MONITOR DE VIDEO 21,5 POLEGADAS - DELL",28/02/2017
1302028,16,PROJETOR MULTIMIDIA INTERATIVO,22/05/2019
1495866,16,QUADRO BRANCO MAGNETICO 2000X1200MM,24/01/2023
1495867,16,QUADRO BRANCO MAGNETICO 2000X1200MM,24/01/2023
722646,16,SWITCH,19/02/2009
1161832,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161835,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161853,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161857,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161858,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161861,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161867,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161869,16,ARMARIO DE ACO C/04 VAOS AMARELO-SCHEFFER,15/05/2014
1161908,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161926,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161943,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161944,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161945,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161946,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161947,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161948,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1161949,16,ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER,15/05/2014
1206229,16,CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP,09/04/2015
1314862,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314864,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314867,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
1314869,16,CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO,23/07/2019
